id,venueId,startDate,startTime,description,entryType,entryAId,entryBId,entryAMembershipIds,entryBMembershipIds,winnerId,loserId,winnerMembershipIds,loserMembershipIds,scores,eventId,eventName,drawId,drawName
8e2df70a-0932-491f-86e8-8c72bb27e2ed|8-5,,3/1/2026,12:00 PM,Group 9 (B vs. C),players,7c6548ec-cd7c-4bfc-975e-c5b3c1115598|4960cc31-f30b-4af8-b499-22eb61a09561,7c6548ec-cd7c-4bfc-975e-c5b3c1115598|53b44b50-8957-42cd-95c7-083e77c96e88,fprtm|30866,fprtm|65610,7c6548ec-cd7c-4bfc-975e-c5b3c1115598|53b44b50-8957-42cd-95c7-083e77c96e88,7c6548ec-cd7c-4bfc-975e-c5b3c1115598|4960cc31-f30b-4af8-b499-22eb61a09561,fprtm|65610,fprtm|30866,"-8,10,-10,4,9",7c6548ec-cd7c-4bfc-975e-c5b3c1115598|1600-under,1600 Under,8e2df70a-0932-491f-86e8-8c72bb27e2ed,Ronda de Grupos
8e2df70a-0932-491f-86e8-8c72bb27e2ed|7-5,,3/1/2026,12:00 PM,Group 8 (B vs. C),players,7c6548ec-cd7c-4bfc-975e-c5b3c1115598|6dae154b-5df8-4e89-915a-31505299a895,7c6548ec-cd7c-4bfc-975e-c5b3c1115598|11a17313-d0bf-4016-bd95-8aaf590ec97e,fprtm|39154,"fprtm|26683,stadium-tt|38117",7c6548ec-cd7c-4bfc-975e-c5b3c1115598|6dae154b-5df8-4e89-915a-31505299a895,7c6548ec-cd7c-4bfc-975e-c5b3c1115598|11a17313-d0bf-4016-bd95-8aaf590ec97e,fprtm|39154,"fprtm|26683,stadium-tt|38117","4,8,2",7c6548ec-cd7c-4bfc-975e-c5b3c1115598|1600-under,1600 Under,8e2df70a-0932-491f-86e8-8c72bb27e2ed,Ronda de Grupos
