Round,WinnerID,LoserID,Scores
Group 3 (A vs. C),fprtm|84341,fprtm|98259,"6,5,7"
Group 2 (A vs. C),fprtm|19358,fprtm|71953,"7,6,1"
Group 1 (A vs. B),fprtm|45382,fprtm|40007,"8,7,7"
Group 2 (B vs. C),fprtm|99166,fprtm|86099,"3,4,5"
Group 1 (B vs. C),fprtm|88504,fprtm|63883,"2,4,3"
Group 2 (B vs. C),fprtm|98777,fprtm|36387,"3,0,5"
Group 2 (B vs. C),fprtm|69638,fprtm|97410,"5,9,6"
Group 1 (B vs. C),fprtm|49363,fprtm|50001,"8,4,5"
Group 2 (B vs. C),fprtm|38016,fprtm|80468,"-7,3,8,13"
Group 2 (A vs. B),fprtm|99166,fprtm|83000,"-7,10,-6,10,9"
Group 1 (A vs. B),fprtm|57400,fprtm|88504,"-9,8,8,-10,5"
Group 2 (A vs. B),"fprtm|26683,stadium-tt|38117",fprtm|98777,"5,10,7"
Group 2 (A vs. B),fprtm|69638,fprtm|11025,"-9,8,5,-6,9"
Group 1 (A vs. B),fprtm|70637,fprtm|50001,"7,4,2"
Group 2 (A vs. B),fprtm|38016,fprtm|22224,"6,7,2"
Group 2 (A vs. C),fprtm|83000,fprtm|86099,"-7,-7,10,8,1"
Group 1 (A vs. C),fprtm|57400,fprtm|63883,"5,8,1"
Group 2 (A vs. C),"fprtm|26683,stadium-tt|38117",fprtm|36387,"2,3,2"
Group 1 (A vs. B),fprtm|56025,fprtm|21420,"5,2,2"
Group 2 (A vs. C),fprtm|97410,fprtm|11025,"-10,-6,11,8,3"
Group 1 (A vs. C),fprtm|70637,fprtm|49363,"-9,8,-7,3,7"
Group 2 (A vs. C),fprtm|80468,fprtm|22224,"10,5,2"
Group 1 (A vs. B),fprtm|84847,fprtm|85914,"3,3,5"
Final,fprtm|65461,fprtm|95180,"2-1"
Semifinal,fprtm|65461,fprtm|35112,"2-0"
Semifinal,fprtm|95180,fprtm|50857,"2-1"
Quarterfinal,fprtm|65461,fprtm|96374,"2-0"
Quarterfinal,fprtm|35112,fprtm|40982,"2-1"
Quarterfinal,fprtm|95180,fprtm|73699,"2-1"
Quarterfinal,fprtm|50857,fprtm|19287,"2-0"
Round of 16,fprtm|65461,fprtm|57576,"2-0"
Round of 16,fprtm|35112,fprtm|40007,"2-0"
Round of 16,fprtm|95180,fprtm|71953,"2-0"
Round of 16,fprtm|50857,fprtm|59672,"2-1"
Round of 16,fprtm|96374,fprtm|41850,"2-0"
Round of 16,fprtm|40982,fprtm|34957,"2-0"
Round of 16,fprtm|73699,fprtm|41195,"2-0"
Round of 16,fprtm|19287,fprtm|42493,"2-0"
