Round,WinnerID,LoserID,Scores
Round of 32 #11,fprtm|48752,fprtm|91678,"8,5,8"
Round of 32 #2,fprtm|81200,fprtm|15817,"8,7,-8,-8,8"
Group 7 (A vs. C),fprtm|48752,,"4,6,3"
Group 6 (A vs. C),fprtm|62743,fprtm|66057,"7,6,8"
Group 5 (A vs. C),fprtm|27146,fprtm|91678,"9,-8,-6,8,6"
Group 4 (A vs. C),fprtm|97900,fprtm|93136,"7,5,5"
Group 3 (A vs. C),fprtm|37607,fprtm|15817,"1,6,5"
Group 1 (A vs. B),fprtm|61876,fprtm|34914,"5,-10,4,8"
Final,fprtm|28289,fprtm|24592,"8,7,-7,7"
Semifinal #2,fprtm|24592,fprtm|54597,"-11,13,9,8"
Semifinal #1,fprtm|28289,fprtm|93810,"5,10,-9,10"
Quarterfinal #4,fprtm|24592,fprtm|37869,"5,1,3"
Group 2 (C vs. D),fprtm|57400,fprtm|37869,"5,5,3"
Group 2 (A vs. B),fprtm|24592,fprtm|28289,"-12,11,15,-8,10"
Group 1 (B vs. C),fprtm|54597,fprtm|95181,"8,-9,11,-10,5"
Group 10 (B vs. C),fprtm|86503,fprtm|66985,"-7,7,9,-6,10"
Group 9 (B vs. C),fprtm|69470,fprtm|98259,"8,5,4"
Group 8 (B vs. C),fprtm|75612,fprtm|97684,"5,8,5"
Group 7 (B vs. C),fprtm|76542,"fprtm|19287,stadium-tt|38116","-9,12,3,4"
Group 6 (B vs. C),fprtm|33416,fprtm|69177,"6,-8,5,7"
Group 5 (B vs. C),fprtm|91959,fprtm|87128,"7,7,-7,13"
Group 4 (B vs. C),fprtm|57576,fprtm|49117,"5,12,9"
Group 3 (B vs. C),fprtm|79514,fprtm|72296,"7,-8,4,7"
Group 11 (B vs. C),fprtm|99353,fprtm|65444,"7,10,-7,7"
Group 2 (B vs. C),fprtm|76540,fprtm|21226,"7,-9,8,11"
Group 2 (B vs. C),fprtm|28289,fprtm|57400,"6,9,1"
